Matrix_Size,NNZ_Ratio,Mean_Time_ms,Std_Time_ms,Failed,Dense_Time_ms,Speedup,Device,PyTorch_Version
128,0.001,0.1164,0.0328,False,0.0569,0.4891,cuda,2.8.0+cu128
128,0.002,0.1039,0.0114,False,0.0569,0.5480,cuda,2.8.0+cu128
128,0.003,0.0979,0.0012,False,0.0569,0.5813,cuda,2.8.0+cu128
128,0.004,0.1039,0.0094,False,0.0569,0.5480,cuda,2.8.0+cu128
128,0.005,0.1030,0.0090,False,0.0569,0.5525,cuda,2.8.0+cu128
128,0.006,0.0965,0.0013,False,0.0569,0.5899,cuda,2.8.0+cu128
128,0.007,0.1021,0.0099,False,0.0569,0.5577,cuda,2.8.0+cu128
128,0.008,0.0987,0.0035,False,0.0569,0.5768,cuda,2.8.0+cu128
128,0.009,0.0962,0.0015,False,0.0569,0.5917,cuda,2.8.0+cu128
128,0.01,0.0976,0.0012,False,0.0569,0.5836,cuda,2.8.0+cu128
128,0.015,0.1087,0.0218,False,0.0569,0.5239,cuda,2.8.0+cu128
128,0.02,0.0988,0.0024,False,0.0569,0.5763,cuda,2.8.0+cu128
128,0.025,0.0960,0.0010,False,0.0569,0.5929,cuda,2.8.0+cu128
128,0.03,0.1019,0.0108,False,0.0569,0.5587,cuda,2.8.0+cu128
128,0.035,0.0987,0.0032,False,0.0569,0.5768,cuda,2.8.0+cu128
128,0.04,0.0959,0.0005,False,0.0569,0.5937,cuda,2.8.0+cu128
128,0.045,0.1018,0.0112,False,0.0569,0.5595,cuda,2.8.0+cu128
128,0.05,0.0975,0.0031,False,0.0569,0.5841,cuda,2.8.0+cu128
128,0.1,0.1001,0.0079,False,0.0569,0.5686,cuda,2.8.0+cu128
256,0.001,0.1019,0.0113,False,0.0459,0.4500,cuda,2.8.0+cu128
256,0.002,0.0964,0.0020,False,0.0459,0.4760,cuda,2.8.0+cu128
256,0.003,0.0968,0.0015,False,0.0459,0.4741,cuda,2.8.0+cu128
