Matrix_Size,NNZ_Ratio,Mean_Time_ms,Std_Time_ms,Failed,Dense_Time_ms,Speedup,Device,PyTorch_Version
128,0.001,0.1947,0.0537,False,0.2934,1.5069,mps,2.10.0a0+gitae25447
128,0.002,0.1454,0.0163,False,0.2934,2.0177,mps,2.10.0a0+gitae25447
128,0.003,0.1604,0.0146,False,0.2934,1.8294,mps,2.10.0a0+gitae25447
128,0.004,0.2135,0.0044,False,0.2934,1.3743,mps,2.10.0a0+gitae25447
128,0.005,0.1690,0.0211,False,0.2934,1.7360,mps,2.10.0a0+gitae25447
128,0.006,0.1872,0.0306,False,0.2934,1.5679,mps,2.10.0a0+gitae25447
128,0.007,0.1627,0.0210,False,0.2934,1.8031,mps,2.10.0a0+gitae25447
128,0.008,0.2231,0.0034,False,0.2934,1.3155,mps,2.10.0a0+gitae25447
128,0.009,0.2280,0.0081,False,0.2934,1.2869,mps,2.10.0a0+gitae25447
128,0.01,0.1902,0.0135,False,0.2934,1.5427,mps,2.10.0a0+gitae25447
128,0.015,0.2541,0.0351,False,0.2934,1.1550,mps,2.10.0a0+gitae25447
128,0.02,0.1802,0.0257,False,0.2934,1.6280,mps,2.10.0a0+gitae25447
128,0.025,0.2367,0.0791,False,0.2934,1.2395,mps,2.10.0a0+gitae25447
128,0.03,0.2226,0.0133,False,0.2934,1.3181,mps,2.10.0a0+gitae25447
128,0.035,0.2110,0.0094,False,0.2934,1.3904,mps,2.10.0a0+gitae25447
128,0.04,0.2894,0.1157,False,0.2934,1.0140,mps,2.10.0a0+gitae25447
128,0.045,0.2588,0.0092,False,0.2934,1.1338,mps,2.10.0a0+gitae25447
128,0.05,0.2854,0.0678,False,0.2934,1.0282,mps,2.10.0a0+gitae25447
128,0.1,0.3010,0.0457,False,0.2934,0.9750,mps,2.10.0a0+gitae25447
256,0.001,0.3468,0.1507,False,0.3516,1.0140,mps,2.10.0a0+gitae25447
256,0.002,0.2743,0.0369,False,0.3516,1.2818,mps,2.10.0a0+gitae25447
256,0.003,0.3312,0.1002,False,0.3516,1.0616,mps,2.10.0a0+gitae25447
256,0.004,0.2906,0.0395,False,0.3516,1.2100,mps,2.10.0a0+gitae25447
256,0.005,0.2697,0.0219,False,0.3516,1.3035,mps,2.10.0a0+gitae25447
256,0.006,0.2996,0.0283,False,0.3516,1.1736,mps,2.10.0a0+gitae25447
256,0.007,0.3216,0.0543,False,0.3516,1.0934,mps,2.10.0a0+gitae25447
256,0.008,0.2995,0.0373,False,0.3516,1.1742,mps,2.10.0a0+gitae25447
256,0.009,0.2871,0.0341,False,0.3516,1.2247,mps,2.10.0a0+gitae25447
256,0.01,0.2988,0.0482,False,0.3516,1.1768,mps,2.10.0a0+gitae25447
256,0.015,0.3137,0.0454,False,0.3516,1.1208,mps,2.10.0a0+gitae25447
